phase,epoch,batch_idx,batch_size,loss,mean_iou,time
train,1,65.0,8.0,0.5583913326263428,0.42006924748420715,1185.8425879478455
train,1,66.0,8.0,0.5601894855499268,0.6904449462890625,1203.7185490131378
train,1,67.0,8.0,0.46520888805389404,0.4855440557003021,1222.667948961258
train,1,68.0,8.0,0.484001100063324,0.3364431858062744,1240.3608767986298
train,1,69.0,8.0,0.3465650975704193,0.6518831849098206,1257.8379878997803
train,1,70.0,8.0,0.36081504821777344,0.8321735262870789,1275.087051153183
train,1,71.0,8.0,0.4769856035709381,0.35624098777770996,1292.5998449325562
train,1,72.0,8.0,0.3387283980846405,0.8013206124305725,1310.5805928707123
train,1,73.0,8.0,0.5050628185272217,0.21723079681396484,1327.7093567848206
train,1,74.0,8.0,0.38056838512420654,0.5345944166183472,1345.193233013153
train,1,75.0,8.0,0.3439928889274597,0.5954039096832275,1362.569829940796
train,1,76.0,8.0,0.47487497329711914,0.5710339546203613,1379.882770061493
train,1,77.0,8.0,0.49380630254745483,0.49153390526771545,1398.0536999702454
train,1,78.0,8.0,0.5475971698760986,0.41316574811935425,1415.9577491283417
train,1,79.0,8.0,0.7087095379829407,0.3068855404853821,1434.1050460338593
train,1,80.0,8.0,0.4812793433666229,0.4693054258823395,1452.1404919624329
train,1,81.0,8.0,0.5953878164291382,0.5101425647735596,1470.3364210128784
train,1,82.0,8.0,0.5056019425392151,0.462569922208786,1489.2712409496307
train,1,83.0,8.0,0.4795460104942322,0.47439518570899963,1506.0924470424652
train,1,84.0,8.0,0.42511117458343506,0.6445827484130859,1523.183217048645
train,1,85.0,8.0,0.4490315020084381,0.5605598092079163,1541.1919100284576
train,1,86.0,8.0,0.4399697780609131,0.5662824511528015,1558.4535639286041
train,1,87.0,8.0,0.3646191358566284,0.5628204345703125,1575.1487188339233
train,1,88.0,8.0,0.4664211571216583,0.4824342727661133,1592.133094072342
train,1,89.0,8.0,0.48231643438339233,0.47359782457351685,1610.251091003418
train,1,90.0,8.0,0.3492644131183624,0.6277881264686584,1627.5294289588928
train,1,91.0,8.0,0.4749050736427307,0.7281256318092346,1644.4828131198883
train,1,92.0,8.0,0.44930005073547363,0.3639718294143677,1661.8237478733063
train,1,93.0,8.0,0.5470627546310425,0.27118492126464844,1678.6983180046082
train,1,94.0,8.0,0.4561641812324524,0.3978489935398102,1696.7151329517365
train,1,95.0,8.0,0.5274669528007507,0.4926633834838867,1715.6698598861694
train,1,96.0,8.0,0.3377007842063904,0.4700430631637573,1734.0026240348816
train,1,97.0,8.0,0.5150354504585266,0.234444260597229,1751.233717918396
train,1,98.0,8.0,0.6597661972045898,0.15316241979599,1768.407138824463
train,1,99.0,8.0,0.4064771234989166,0.4307977259159088,1786.6127760410309
train,1,100.0,8.0,0.38807639479637146,0.5260002613067627,1803.7687089443207
train,1,101.0,8.0,0.39803069829940796,0.6540368795394897,1820.8768978118896
train,1,102.0,8.0,0.44288474321365356,0.4918133616447449,1837.8290169239044
train,1,103.0,8.0,0.3545694053173065,0.5794140100479126,1854.3950281143188
train,1,104.0,8.0,0.536401093006134,0.38097691535949707,1871.3291327953339
train,1,105.0,8.0,0.2916485667228699,0.8367436528205872,1888.8316597938538
train,1,106.0,8.0,0.5432788133621216,0.29123878479003906,1906.149339914322
train,1,107.0,8.0,0.49872422218322754,0.5630540251731873,1922.957739830017
train,1,108.0,8.0,0.2890263497829437,0.7024347186088562,1940.770761013031
train,1,109.0,8.0,0.4575954079627991,0.7354791760444641,1957.9372289180756
train,1,110.0,8.0,0.23699098825454712,0.7003781199455261,1974.8342049121857
train,1,111.0,8.0,0.4167545437812805,0.8247034549713135,1991.6373419761658
train,1,112.0,8.0,0.3282981514930725,0.521592378616333,2009.6699419021606
train,1,113.0,8.0,0.6210404634475708,0.36198145151138306,2027.0535907745361
train,1,114.0,8.0,0.41149210929870605,0.7095673680305481,2044.6580219268799
train,1,115.0,8.0,0.5977953672409058,0.4704972505569458,2062.511957168579
train,1,116.0,8.0,0.3382095694541931,0.4685639441013336,2080.3011269569397
train,1,117.0,8.0,0.4811089336872101,0.7020618915557861,2098.5522429943085
train,1,118.0,8.0,0.5208268165588379,0.49363023042678833,2116.070375919342
train,1,119.0,8.0,0.5175462961196899,0.48954614996910095,2135.048357963562
train,1,120.0,8.0,0.6082090735435486,0.3011353015899658,2152.412286043167
train,1,121.0,8.0,0.4054167866706848,0.5771956443786621,2169.365926027298
train,1,122.0,8.0,0.5211581587791443,0.368161141872406,2186.6461639404297
train,1,123.0,8.0,0.4503570795059204,0.6692297458648682,2203.5736117362976
train,1,124.0,8.0,0.4135280251502991,0.3182370960712433,2220.760397911072
train,1,125.0,8.0,0.3969731628894806,0.4672945439815521,2237.7407279014587
train,1,126.0,8.0,0.4168645143508911,0.4760509133338928,2255.870006799698
train,1,127.0,8.0,0.4959811866283417,0.4390309154987335,2273.0449390411377
train,1,128.0,8.0,0.6011672616004944,0.23754794895648956,2289.976870059967
train,1,129.0,8.0,0.37826043367385864,0.6071422100067139,2307.979833841324
train,1,130.0,8.0,0.41361695528030396,0.5779910087585449,2326.4504101276398
train,1,131.0,8.0,0.5026550889015198,0.5457593202590942,2344.279403924942
train,1,132.0,8.0,0.5096147656440735,0.5291601419448853,2363.892935037613
train,1,133.0,8.0,0.5480285286903381,0.3382716178894043,2383.0429871082306
train,1,134.0,8.0,0.31155988574028015,0.5814518928527832,2400.8966648578644
train,1,135.0,8.0,0.4191586375236511,0.5705951452255249,2420.0693080425262
train,1,136.0,8.0,0.5315648317337036,0.664696455001831,2437.4890241622925
train,1,137.0,8.0,0.5015586018562317,0.6209650635719299,2454.9143669605255
train,1,138.0,8.0,0.4461889863014221,0.604134738445282,2471.73122215271
train,1,139.0,8.0,0.3776182234287262,0.7333230376243591,2488.8548498153687
train,1,140.0,8.0,0.27102071046829224,0.7186546921730042,2506.0435569286346
train,1,141.0,8.0,0.37595537304878235,0.652549147605896,2523.230782032013
train,1,142.0,8.0,0.6611576080322266,0.3974801301956177,2541.837157011032
train,1,143.0,8.0,0.5051214098930359,0.274884968996048,2561.0467369556427
train,1,144.0,8.0,0.3891175091266632,0.6351848840713501,2579.5610389709473
train,1,145.0,8.0,0.42827358841896057,0.308697909116745,2596.9984509944916
train,1,146.0,8.0,0.5346014499664307,0.35648590326309204,2614.8583829402924
train,1,147.0,8.0,0.33875229954719543,0.5920514464378357,2631.956829071045
train,1,148.0,8.0,0.5255095958709717,0.39418286085128784,2649.2866609096527
train,1,149.0,8.0,0.45045772194862366,0.4096609950065613,2667.3405220508575
train,1,150.0,8.0,0.44340142607688904,0.6701370477676392,2684.820126056671
train,1,151.0,8.0,0.5243744254112244,0.3893154263496399,2702.131447792053
train,1,152.0,8.0,0.38402318954467773,0.4730326533317566,2719.242429971695
train,1,153.0,8.0,0.4254954755306244,0.3082450032234192,2736.85777592659
train,1,154.0,8.0,0.32857829332351685,0.4735831618309021,2754.3059108257294
train,1,155.0,8.0,0.4340299963951111,0.3918837308883667,2771.3201529979706
train,1,156.0,8.0,0.6560561656951904,0.12642468512058258,2788.393283843994
val,1,,,0.4281854897737503,0.5126508049666881,2994.7825570106506
train,2,0.0,8.0,0.710477352142334,0.0029987855814397335,21.469538927078247
train,2,1.0,8.0,0.4714755415916443,0.5063590407371521,39.53367900848389
train,2,2.0,8.0,0.5020135045051575,0.5865951180458069,56.81115412712097
train,2,3.0,8.0,0.42321649193763733,0.5443310737609863,74.47786211967468
train,2,4.0,8.0,0.4731745421886444,0.257162868976593,92.35899901390076
train,2,5.0,8.0,0.41783004999160767,0.6024276614189148,110.42338800430298
train,2,6.0,8.0,0.44927942752838135,0.6286866664886475,128.48301696777344
train,2,7.0,8.0,0.5063760876655579,0.4097399413585663,145.68473601341248
train,2,8.0,8.0,0.4238302707672119,0.5326197147369385,163.5982780456543
train,2,9.0,8.0,0.3209148049354553,0.6334962248802185,180.79385685920715
train,2,10.0,8.0,0.3786781430244446,0.6006296873092651,198.00573205947876
train,2,11.0,8.0,0.5017588138580322,0.5688221454620361,216.31621599197388
train,2,12.0,8.0,0.5188183188438416,0.6472664475440979,233.8760690689087
train,2,13.0,8.0,0.37384265661239624,0.6078894734382629,250.74908590316772
train,2,14.0,8.0,0.49322831630706787,0.3139190971851349,268.413409948349
train,2,15.0,8.0,0.4467398524284363,0.5349859595298767,286.16518115997314
train,2,16.0,8.0,0.5031638741493225,0.5639235377311707,303.46402406692505
train,2,17.0,8.0,0.49742475152015686,0.6710807681083679,320.8858118057251
train,2,18.0,8.0,0.4133847951889038,0.4617558717727661,337.8711540699005
train,2,19.0,8.0,0.42316702008247375,0.41195473074913025,355.1814739704132
train,2,20.0,8.0,0.3122241199016571,0.49127182364463806,374.2759778499603
train,2,21.0,8.0,0.5049132704734802,0.5230356454849243,392.8992600440979
train,2,22.0,8.0,0.4845597743988037,0.5607092380523682,410.35435009002686
train,2,23.0,8.0,0.520076334476471,0.7608352303504944,427.7840828895569
train,2,24.0,8.0,0.4144665002822876,0.6168994903564453,445.38548493385315
train,2,25.0,8.0,0.4935561418533325,0.7196445465087891,462.4269030094147
train,2,26.0,8.0,0.4328846037387848,0.5393633842468262,479.13135504722595
train,2,27.0,8.0,0.4035618007183075,0.44823914766311646,497.8782241344452
train,2,28.0,8.0,0.5940728187561035,0.3149523437023163,516.956974029541
train,2,29.0,8.0,0.4274917244911194,0.48581618070602417,534.4099090099335
train,2,30.0,8.0,0.3998153805732727,0.4982303977012634,551.6411638259888
train,2,31.0,8.0,0.4595378339290619,0.35369986295700073,568.7710697650909
train,2,32.0,8.0,0.3662300407886505,0.6084929704666138,586.7373428344727
train,2,33.0,8.0,0.5066508054733276,0.49474653601646423,605.2388579845428
train,2,34.0,8.0,0.350821852684021,0.5427838563919067,622.1963548660278
train,2,35.0,8.0,0.37967050075531006,0.600697934627533,639.1575090885162
train,2,36.0,8.0,0.42314767837524414,0.4007236361503601,656.2412531375885
train,2,37.0,8.0,0.5953786373138428,0.30343806743621826,674.9242458343506
train,2,38.0,8.0,0.5540910363197327,0.17899592220783234,693.8690001964569
train,2,39.0,8.0,0.33609721064567566,0.7075144648551941,711.4619889259338
train,2,40.0,8.0,0.4080338180065155,0.6964459419250488,728.4454691410065
train,2,41.0,8.0,0.3823930621147156,0.6176207661628723,746.1929838657379
train,2,42.0,8.0,0.4231325685977936,0.4512118101119995,763.2279160022736
train,2,43.0,8.0,0.5980461835861206,0.452256441116333,780.487790107727
train,2,44.0,8.0,0.4977891445159912,0.5107638835906982,798.0388247966766
train,2,45.0,8.0,0.4776109457015991,0.5658435821533203,817.0546689033508
train,2,46.0,8.0,0.48507851362228394,0.4957420229911804,834.7529640197754
train,2,47.0,8.0,0.3767249882221222,0.645722508430481,853.5662088394165
