phase,epoch,batch_idx,batch_size,loss,mean_iou,time
train,1,0.0,8.0,0.7265224456787109,0.017178360372781754,35.65649604797363
train,1,1.0,8.0,0.765221893787384,0.20897948741912842,70.95522809028625
train,1,2.0,8.0,0.743624210357666,0.08123043179512024,97.31439995765686
train,1,3.0,8.0,0.8061732053756714,0.003856069641187787,117.61948800086975
train,1,4.0,8.0,0.7287791967391968,0.19019168615341187,137.69082498550415
train,1,5.0,8.0,0.6720938086509705,0.3034120798110962,158.11167097091675
train,1,6.0,8.0,0.6969598531723022,0.35192638635635376,178.19995307922363
train,1,7.0,8.0,0.674575924873352,0.275152325630188,204.46038389205933
train,1,8.0,8.0,0.6409231424331665,0.33221718668937683,226.2300660610199
train,1,9.0,8.0,0.6924463510513306,0.3236433267593384,246.14307713508606
train,1,10.0,8.0,0.5647436380386353,0.5346260666847229,265.79499888420105
train,1,11.0,8.0,0.7916232347488403,0.036106787621974945,285.6790728569031
train,1,12.0,8.0,0.7725417613983154,0.2692582607269287,303.9244270324707
train,1,13.0,8.0,0.5238732099533081,0.5501550436019897,322.4013957977295
train,1,14.0,8.0,0.6434091925621033,0.24244561791419983,340.78004813194275
train,1,15.0,8.0,0.6712794303894043,0.5009995102882385,359.0956120491028
train,1,16.0,8.0,0.5571839809417725,0.4392314851284027,377.6868121623993
train,1,17.0,8.0,0.7987678050994873,0.12598586082458496,395.2095410823822
train,1,18.0,8.0,0.6000003218650818,0.6221714019775391,413.75602293014526
train,1,19.0,8.0,0.5913832187652588,0.3510950803756714,432.87266087532043
train,1,20.0,8.0,0.6566600799560547,0.12795871496200562,452.0490279197693
train,1,21.0,8.0,0.5131253004074097,0.4554675221443176,471.88685417175293
train,1,22.0,8.0,0.6777547597885132,0.3274959921836853,489.56278586387634
train,1,23.0,8.0,0.7874948978424072,0.0040542129427194595,509.9214971065521
train,1,24.0,8.0,0.4915963411331177,0.7263073325157166,527.4507591724396
train,1,25.0,8.0,0.49149948358535767,0.34755808115005493,544.5839400291443
train,1,26.0,8.0,0.4506042003631592,0.5700827240943909,561.9081699848175
train,1,27.0,8.0,0.5602319240570068,0.5903689861297607,580.5869097709656
train,1,28.0,8.0,0.583611249923706,0.3124775290489197,597.7044680118561
train,1,29.0,8.0,0.5532900094985962,0.7577451467514038,615.0365259647369
train,1,30.0,8.0,0.5845913290977478,0.30850455164909363,632.1115598678589
train,1,31.0,8.0,0.6756842136383057,0.0962028056383133,650.4179801940918
train,1,32.0,8.0,0.471973180770874,0.47416338324546814,668.4962730407715
train,1,33.0,8.0,0.4584341049194336,0.5547321438789368,686.141223192215
train,1,34.0,8.0,0.4754803478717804,0.32632631063461304,703.056303024292
train,1,35.0,8.0,0.46084269881248474,0.8360397815704346,719.6464140415192
train,1,36.0,8.0,0.5343828201293945,0.5224819779396057,736.7365920543671
train,1,37.0,8.0,0.37007319927215576,0.8246181011199951,753.7175679206848
train,1,38.0,8.0,0.6165599822998047,0.2283984273672104,771.6244678497314
train,1,39.0,8.0,0.635086178779602,0.5084865093231201,788.5677280426025
train,1,40.0,8.0,0.6153238415718079,0.5170621871948242,808.4085280895233
train,1,41.0,8.0,0.45703446865081787,0.5967508554458618,826.2191729545593
train,1,42.0,8.0,0.6196290850639343,0.36127597093582153,844.3039400577545
train,1,43.0,8.0,0.5742943286895752,0.36911827325820923,861.4762580394745
train,1,44.0,8.0,0.5037485361099243,0.3636232018470764,878.9775540828705
train,1,45.0,8.0,0.6432499885559082,0.21722784638404846,897.3595387935638
train,1,46.0,8.0,0.4255669414997101,0.5727799534797668,915.4250259399414
train,1,47.0,8.0,0.4753223955631256,0.491298645734787,933.9361388683319
train,1,48.0,8.0,0.3857886791229248,0.7188940644264221,952.1530878543854
train,1,49.0,8.0,0.5043025612831116,0.23759740591049194,969.7797679901123
train,1,50.0,8.0,0.36661213636398315,0.5234870314598083,987.1775920391083
train,1,51.0,8.0,0.4837516248226166,0.836942732334137,1004.7913568019867
train,1,52.0,8.0,0.47342655062675476,0.49765264987945557,1022.6290709972382
train,1,53.0,8.0,0.5468859076499939,0.6165305972099304,1040.3215279579163
train,1,54.0,8.0,0.602013349533081,0.2599171996116638,1058.4008209705353
train,1,55.0,8.0,0.6780902147293091,0.14939554035663605,1076.1661219596863
train,1,56.0,8.0,0.5348960757255554,0.453880250453949,1093.0594952106476
train,1,57.0,8.0,0.5553436875343323,0.2471325546503067,1111.2447338104248
train,1,58.0,8.0,0.33898866176605225,0.7077125310897827,1130.6188309192657
train,1,59.0,8.0,0.31979697942733765,0.7800495028495789,1151.3402318954468
train,1,60.0,8.0,0.607854425907135,0.4729374945163727,1171.237627029419
train,1,61.0,8.0,0.5267763137817383,0.7720014452934265,1190.581874847412
train,1,62.0,8.0,0.4030531048774719,0.682685136795044,1208.691025018692
train,1,63.0,8.0,0.40288665890693665,0.8316575288772583,1227.2706179618835
train,1,64.0,8.0,0.33461636304855347,0.8333015441894531,1244.9707760810852
train,1,65.0,8.0,0.5868051052093506,0.4827111065387726,1262.2511851787567
train,1,66.0,8.0,0.47770893573760986,0.5587804913520813,1279.6287558078766
train,1,67.0,8.0,0.45372074842453003,0.8294399380683899,1296.8821680545807
train,1,68.0,8.0,0.4342418909072876,0.352548211812973,1314.9152669906616
train,1,69.0,8.0,0.444513201713562,0.4957864582538605,1332.0576140880585
train,1,70.0,8.0,0.5204300284385681,0.45283043384552,1349.6668610572815
train,1,71.0,8.0,0.6834858059883118,0.14968973398208618,1368.9258539676666
train,1,72.0,8.0,0.5161340832710266,0.501532793045044,1387.6484611034393
train,1,73.0,8.0,0.45021307468414307,0.6068025827407837,1405.5802071094513
train,1,74.0,8.0,0.4874913692474365,0.613277792930603,1422.4065248966217
train,1,75.0,8.0,0.36645010113716125,0.5531333088874817,1439.766412973404
train,1,76.0,8.0,0.5831338167190552,0.3886318802833557,1457.577980041504
train,1,77.0,8.0,0.41342929005622864,0.6686426997184753,1475.099524974823
train,1,78.0,8.0,0.47504711151123047,0.5165582895278931,1492.1605911254883
train,1,79.0,8.0,0.625988781452179,0.4384671449661255,1509.6421389579773
train,1,80.0,8.0,0.5620899796485901,0.604232132434845,1527.061362028122
train,1,81.0,8.0,0.4925961196422577,0.2261458933353424,1544.9144880771637
train,1,82.0,8.0,0.49537229537963867,0.3610774874687195,1562.4144539833069
train,1,83.0,8.0,0.6313649415969849,0.1907535195350647,1579.379359960556
train,1,84.0,8.0,0.41376984119415283,0.47997644543647766,1596.489471912384
train,1,85.0,8.0,0.730244517326355,0.12560445070266724,1613.4299130439758
train,1,86.0,8.0,0.5333747863769531,0.3663371801376343,1631.4545550346375
train,1,87.0,8.0,0.43170419335365295,0.5297709107398987,1650.5544199943542
train,1,88.0,8.0,0.6930683851242065,0.26059404015541077,1669.3611359596252
train,1,89.0,8.0,0.49192333221435547,0.6340839266777039,1688.793926000595
train,1,90.0,8.0,0.4405938386917114,0.56629478931427,1707.062183856964
train,1,91.0,8.0,0.4389530420303345,0.7584510445594788,1726.3149240016937
train,1,92.0,8.0,0.5435090065002441,0.4908093214035034,1745.9156131744385
train,1,93.0,8.0,0.38282105326652527,0.6987146139144897,1763.8567609786987
train,1,94.0,8.0,0.31578534841537476,0.7428905367851257,1782.3713388442993
train,1,95.0,8.0,0.32549595832824707,0.7018244862556458,1802.2742550373077
train,1,96.0,8.0,0.49674752354621887,0.35504671931266785,1820.915461063385
train,1,97.0,8.0,0.41394633054733276,0.47523507475852966,1839.9672298431396
train,1,98.0,8.0,0.467079758644104,0.49180036783218384,1859.1147129535675
train,1,99.0,8.0,0.4569883942604065,0.5132883787155151,1877.266408920288
train,1,100.0,8.0,0.4264459013938904,0.49730396270751953,1895.5188500881195
train,1,101.0,8.0,0.36795860528945923,0.7010833024978638,1913.8194880485535
train,1,102.0,8.0,0.5332163572311401,0.5489506721496582,1931.5903730392456
train,1,103.0,8.0,0.5047625303268433,0.4491499960422516,1949.6668961048126
train,1,104.0,8.0,0.5678726434707642,0.11790923774242401,1967.1490008831024
train,1,105.0,8.0,0.38843297958374023,0.8221415877342224,1988.2220249176025
train,1,106.0,8.0,0.37278038263320923,0.4492461681365967,2007.903501033783
train,1,107.0,8.0,0.32802581787109375,0.7445114850997925,2027.3050699234009
train,1,108.0,8.0,0.4615497887134552,0.24100466072559357,2047.0263180732727
train,1,109.0,8.0,0.46270859241485596,0.48343169689178467,2064.833657026291
train,1,110.0,8.0,0.38174641132354736,0.5535202622413635,2082.8785331249237
train,1,111.0,8.0,0.5643152594566345,0.49708014726638794,2100.576555967331
train,1,112.0,8.0,0.44163569808006287,0.5507690906524658,2118.313824892044
train,1,113.0,8.0,0.4477088451385498,0.5644266605377197,2135.365777015686
train,1,114.0,8.0,0.4586867392063141,0.3625599145889282,2154.877352952957
train,1,115.0,8.0,0.4447815418243408,0.6868722438812256,2174.710300207138
train,1,116.0,8.0,0.4290136694908142,0.6025131940841675,2194.54424905777
train,1,117.0,8.0,0.46673262119293213,0.6108944416046143,2212.991119146347
train,1,118.0,8.0,0.30469727516174316,0.70079505443573,2232.583374977112
train,1,119.0,8.0,0.5424254536628723,0.16623108088970184,2251.3227519989014
train,1,120.0,8.0,0.4888312518596649,0.7243203520774841,2270.0323297977448
train,1,121.0,8.0,0.40027862787246704,0.4165889620780945,2289.237874984741
train,1,122.0,8.0,0.339241623878479,0.5306342244148254,2308.68279004097
train,1,123.0,8.0,0.519160270690918,0.5517125725746155,2327.980648994446
train,1,124.0,8.0,0.38596439361572266,0.41502299904823303,2350.7410700321198
train,1,125.0,8.0,0.4584466218948364,0.47783148288726807,2370.0995008945465
train,1,126.0,8.0,0.5163198709487915,0.5280677676200867,2388.350084066391
train,1,127.0,8.0,0.5843512415885925,0.3745386600494385,2408.026356935501
train,1,128.0,8.0,0.41694289445877075,0.47301697731018066,2427.6613018512726
train,1,129.0,8.0,0.5239888429641724,0.6179980039596558,2446.0287029743195
train,1,130.0,8.0,0.5417286157608032,0.3786596953868866,2464.1926040649414
train,1,131.0,8.0,0.45787313580513,0.3819253742694855,2481.084142923355
train,1,132.0,8.0,0.35109883546829224,0.4571084976196289,2498.649959087372
train,1,133.0,8.0,0.30527976155281067,0.6817638278007507,2515.334760904312
train,1,134.0,8.0,0.6654974818229675,0.2603740692138672,2535.1333391666412
train,1,135.0,8.0,0.417493611574173,0.5520168542861938,2553.7785861492157
train,1,136.0,8.0,0.45382896065711975,0.6120409965515137,2571.8920822143555
val,1,,,0.4589502185583115,0.5071439738074939,2731.817337989807
train,2,0.0,8.0,0.38710132241249084,0.5519329309463501,23.664875030517578
train,2,1.0,8.0,0.38594886660575867,0.41008198261260986,43.20631718635559
train,2,2.0,8.0,0.4929938018321991,0.47366270422935486,61.09948015213013
